,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed
4470,"Alienware Aurora R13 Gaming Desktop - Intel Core i7-12700F, 16GB DDR5 RAM, 512GB SSD + 1TB HDD, RTX 3060Ti 8GB GDDR6, Air Cooled, 6 Months Dell Migrate Services, Windows 11 Home - Lunar Light",3.4 out of 5 stars,4,"$1,901..64",Core i7,1 TB,16 GB,4.9 GHz
4471,"YEYIAN Kunai X21 Gaming PC Computer, Intel 12th Gen Alder Lake i5-12600K 10-Core 3.7GHz, GeForce RTX 3060 12GB GDDR6, 1TB NVMe Gen 4 SSD, 16GB DDR4 3600MHz, 240mm AIO, WiFi 6, BT 5.2",4.4 out of 5 stars,62,"$1,699..00",Core i5,1 TB,16.00 GB,3.70 GHz
4472,"Dell Inspiron Flagship Premium Desktop PC, Intel Core i5-7400 Quad Core, 3GHz, 16GB RAM, 256GB SSD, DVD, WiFi Bluetooth HDMI VGA, Windows 10 Pro",3.7 out of 5 stars,5,,Core i5,1 TB,12 GB,3.00 GHz
4473,HP Pavilion Gaming Desktop Intel Core i7 16 GB Memory; 2 TB HDD Storage; 256 GB SSD Storage Intel UHD Graphics 630 DVD-Writer Windows 10 Home (Renewed),4.3 out of 5 stars,9,$629..99,Core i7,2 TB,16 GB,2.90 GHz
4474,"Periphio Gaming PC Tower Desktop Computer, Intel Quad Core i5 3.2GHz, 8GB RAM, 120GB SSD + 1TB 7200 RPM HDD, Windows 10, GTX 1050TI Graphics Card, RGB, HDMI, Wi-Fi (Renewed)",4.0 out of 5 stars,2,$629..99,Core i5,120 GB,8 GB,3.20 GHz
4475,Dell Inspiron 3671 Desktop Computer_ Intel Hexa-Core i5-9400 (>i7-7700HQ)_ 12GB DDR4 RAM_ 256GB PCIe SSD_ WiFi_ Bluetooth 4.0_ VGA_ HDMI_ Black_ Windows 10,4.7 out of 5 stars,5,$629..00,Core i5,256 GB,12 GB,3.6 GHz
4476,HP Newest Desktop AMD Ryzen 7 4700G 12GB Memory 256GB SSD 1TB Windows 10 Home Black with GS HDMI Cable,NO RATING,NO NUM RATING,$629..00,Ryzen 7 4700U,256 GB,12.00 GB,3.60 GHz
4477,"Ssrotho Gaming Desktop Windows 10 Professional Business PC Tower Computer, Intel Quad-Core i5 3.2Ghz, 8GB RAM, 512GB SSD, GeForce GT 730, WiFi Adapter, GeForce GT 730 2GB, Tempered Glass Case",3.2 out of 5 stars,10,$629..00,Intel Core i5,512 GB,8 GB,3.4 GHz
4478,"HP Pavilion Desktop PC, 11th Gen Intel Core i5-11400 Processor, 8 GB RAM, 512 GB SSD, Windows 11, Wi-Fi 6 and Bluetooth 5.0 Combo, 9 USB Ports, Sleek and Compact Gaming Tower (TP01-2050, 2021)",4.6 out of 5 stars,20,$626..00,Core i5,0.01 MB,8 GB,2.6 GHz
4479,"Lenovo ThinkCentre M900 SFF Desktop Computer, Intel Core i7-6700 Upto 4.0GHz, 32GB RAM, 1TB SSD, 4K 2-Monitor Support DisplayPort, HDMI, DVD-RW, AC Wi-Fi, Bluetooth, TDL - Windows 10 Pro (RENEWED)",3.7 out of 5 stars,4,$625..27,Core i7,1 TB,32 GB,4.00 GHz
4480,"Empowered PC Sentinel Gamer PC (No OS, AMD Ryzen 3 3200G, 16GB RAM, 256GB NVMe SSD, 500W PSU, AC WiFi) Tower Gaming Desktop Computer",3.9 out of 5 stars,3,$624..99,AMD R Series,256 GB,16 GB,3.60 GHz
4481,"ViprTech Flurry Gaming PC Desktop Computer - AMD Ryzen 3, AMD Radeon RX 560 4GB, 8GB DDR4 RAM, 1TB HDD, WiFi, RGB, Windows 10 Pro, White",2.3 out of 5 stars,5,$624..95,Ryzen 5 1600,1 TB,8 GB,3.60 GHz
4482,"Dell Inspiron High Performance Desktop, Intel Core i5-9400 Processor, 8GB RAM, 512GB SSD, HDMI, VGA, USB 3.1, 5-in-1 Card Reader, Wireless+Bluetooth, Windows 10",5.0 out of 5 stars,2,$641..96,Core i5,512 GB,8 GB,4.10 GHz
