,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
2363,"2021 Latest Dell XPS 8940 Desktop - 11th Gen Intel Core i7-11700K up to 5.0 GHz CPU, 16GB RAM, 4TB SSD + 12TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10",0.0/0,0,1979.0,Intel Core i7,16000 GB,16 GB,3.60 GHz,Dell,0,0,GB,16.0,3.6,16000.0 GB
2366,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9GHz CPU, 32GB RAM, 8TB SSD + 1TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10 Home",0.0/0,0,1979.0,Intel Core i7,9000 GB,32 GB,2.50 GHz,Dell,0,0,GB,32.0,2.5,9000.0 GB
2367,"Dell OptiPlex 3080 Micro Desktop 2TB SSD 2TB HD Extreme (Intel Core i9-10900 Processor with Turbo Boost to 5.20GHz, 16 GB RAM, 2 TB SSD + 2 TB HD, Win 10 Pro) PC Business Computer",0.0/0,0,1978.0,Intel Core i9,4 TB,16 GB,5.20 GHz,Dell,0,0,GB,16.0,5.2,4000.0 GB
2368,"Acer Predator Orion 3000 RTX 3070 8GB Gaming Desktop Computer, Intel 8-Cores i7-10700F up to 4.8GHz, 16GB DDR4 RAM, 512GB PCIe SSD + 1TB HDD, RGB Lighting Case, Windows 10, BROAGE 64GB Flash Drive",4.0/5,1,1969.99,Intel Core i7,512 GB,16 GB,2.90 GHz,Acer,0,0,GB,16.0,2.9,512.0 GB
2369,"OMEN 25L Gaming Desktop Gamer Tower, GeForce GTX 1650 Super Graphics, 10th 8-Core i7-10700 up to 4.8 GHz (64GB DDR4 RAM | 4TB SATA SSD | 1TB HDD) VR Ready RGB Lighting 500 PSU W10P, W/JTD Mouse Pad",5.0/5,1,1969.99,Intel Core i7,4 TB,64 GB,4.80 GHz,OMEN,0,0,GB,64.0,4.8,4000.0 GB
2370,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 32GB DDR4 Memory, 1TB SSD + 6TB SATA Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1969.99,Intel Core i7,7000 GB,32 GB,3.20 GHz,Dell,0,0,GB,32.0,3.2,7000.0 GB
2371,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 64GB DDR4 Memory, 256GB SSD + 2TB SATA Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1969.99,Intel Core i7,2256 GB,64 GB,3.20 GHz,Dell,0,0,GB,64.0,3.2,2256.0 GB
2372,"Dell XPS 8940 Desktop - 11th Gen Intel Core i7-11700K up to 5.0 GHz CPU, 8GB RAM, 8TB SSD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 11 Pro",0.0/0,0,1969.0,Intel Core i7,8000 GB,8 GB,3.60 GHz,Dell,0,0,GB,8.0,3.6,8000.0 GB
2373,"Dell XPS 8940 Desktop - 11th Gen Intel Core i7-11700K up to 5.0 GHz CPU, 32GB RAM, 4TB SSD + 6TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 11 Pro",0.0/0,0,1969.0,Intel Core i7,10000 GB,32 GB,3.60 GHz,Dell,0,0,GB,32.0,3.6,10000.0 GB
2375,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 64GB DDR4 Memory, 512GB Solid State Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro (64-bit)",0.0/0,0,1959.99,Intel Core i7,512 GB,64 GB,3.20 GHz,Dell,0,0,GB,64.0,3.2,512.0 GB
