,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
48,"Velztorm Gladio CTO Powerful Gaming Desktop PC Liquid-Cooled (AMD Ryzen 9 5900X 12-Core, 128GB DDR4, 2TB PCIe SSD+6TB HDD (3.5), GeForce RTX 3080 TI 12GB, WRGB Fans, AC WiFi, BT, Win 10 Pro)",0.0,0,6748.0,AMD R Series,2 TB,128 GB,3.70 GHz,Velztorm,1,1,GB,128.0,3.7,2000.0
49,Adamant Custom 24-Core Workstation Desktop Computer PC System AMD Ryzen Threadripper 3960X 3.8Ghz ROG Strix 256Gb DDR4 RAM 8TB HDD 2TB NVMe SSD 1000W PSU GeForce RTX 2060 6Gb,0.0,0,6699.99,AMD R Series,8 TB,256 GB,3.80 GHz,ASUS ROG,0,0,GB,256.0,3.8,8000.0
50,"Velztorm Ballizta Gaming Custom Desktop (AMD Ryzen 9-5950X 16-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,6698.0,AMD R Series,8 TB,128 GB,3.40 GHz,Velztorm,0,0,GB,128.0,3.4,8000.0
51,"Velztorm White Ferrux CTO Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, GeForce GTX 1050 Ti 4GB, 128GB DDR4, 8TB PCIe SSD + 6TB HDD, RGB Fans, 750W PSU, Wi-Fi 4, Win 10 Pro)",0.0,0,6698.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,1,GB,128.0,3.7,8000.0
52,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 32GB DDR5 4800MHz RAM, 512GB PCIe SSD+1TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10P)",0.0,0,6678.0,Intel Core i9,512 GB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,512.0
53,"Velztorm Aciex 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16 Core, RTX 3080 10GB, 64GB DDR5 4800MHz RAM, 4TB PCIe SSD, 360 mm AIO, 1000W PSU, WiFi6, BT 5.2, Win11P)",0.0,0,6648.0,Intel Core i9,4 TB,64 GB,3.20 GHz,Velztorm,1,0,GB,64.0,3.2,4000.0
54,"Velztorm Azcia Gaming Desktop PC (AMD Ryzen 7-5800X 8-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD + 6TB HDD (3.5), WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,6598.0,Ryzen 7,8 TB,128 GB,3.80 GHz,Velztorm,0,0,GB,128.0,3.8,8000.0
55,"Velztorm Prizma 12th Gen CTO Gaming Desktop (Intel i9-12900K (Alder Lake) 16-Core, Radeon RX 6900 XT 16GB, 32GB DDR5 4800MHz RAM, 512GB PCIe SSD+2TB HDD, 240 mm AIO, WiFi 6, BT 5.2, Win10H)",0.0,0,6598.0,Intel Core i9,512 GB,32 GB,3.20 GHz,Velztorm,1,0,GB,32.0,3.2,512.0
56,"Velztorm White Addux Open-Air Design Custom Gaming Desktop Liquid-Cooled (AMD Ryzen 9-5900X 12-Core, RTX 3090 24GB, 64GB DDR4, 4TB PCIe SSD, 360mm AIO, VR Ready, 750W PSU, WiFi-N, Win10P)",0.0,0,6554.1,AMD R Series,4 TB,64 GB,3.70 GHz,Velztorm,0,1,GB,64.0,3.7,4000.0
57,"Velztorm White Addux Gaming & Entertainment Custom Desktop (AMD Ryzen 9-5900X 12-Core, GeForce RTX 3050, 128GB RAM, 8TB PCIe SSD, WiFi, USB 3.2, HDMI, Display Port, Win 10 Pro)",0.0,0,6548.0,AMD R Series,8 TB,128 GB,3.70 GHz,Velztorm,0,0,GB,128.0,3.7,8000.0
